ID;NOME;SOBRENOME;CPF;RG;DN;DATAhOJE;IDADE;SEXO;ESTADO;CIDADE;CEP;BAIRRO;E-MAIL;CC;AG;BCO;CARTAO;VALIDADE;CVV
1;Yuri;Levi Claudio Porto;62814322400;429047435;09/02/1987;14/02/2022;35;Masculino;PB;Joao Pessoa;58075510;Ernesto Geisel;yurileviclaudioporto..yurileviclaudioporto@ambiente.sp.gov.br;1160301-1;4636;Banco do Brasil;5180 4793 3841 0852;12/09/2023;926
2;Elias;Matheus Heitor Duarte;16404511452;455391567;01/02/1980;14/02/2022;42;Masculino;PB;Joao Pessoa;58088202;Oitizeiro;eeliasmatheusheitorduarte@mrv.com.br;122748-3;164;Banco do Brasil;4532 5429 2955 4863;12/09/2023;861
3;Luiz;Thiago Teixeira;2303379458;378495446;27/01/1994;14/02/2022;28;Masculino;PE;Recife;51190430;Ipsep;luizthiagoteixeira..luizthiagoteixeira@casabellavidros.com.br;1278378-1;867;Banco do Brasil;3790 117604 51831;12/08/2023;9679
4;Lavinia;Luna Freitas;70459800434;447647222;06/02/1984;14/02/2022;38;Feminino;PB;Campina Grande;58414536;Tambor;lavinialunafreitas-74@mmetalica.com.br;295348-X;521;Banco do Brasil;5108 6119 0111 9580;12/07/2023;384
5;Eduardo;Vinicius Marcelo Novaes;7606663424;145440813;08/02/1972;14/02/2022;50;Masculino;PB;Joao Pessoa;58073210;Jos? Americo de Almeida;eeduardoviniciusmarcelonovaes@terra.com.br;0918965-3;2105;Bradesco;5574 7903 1345 5496;12/12/2022;349
6;Cristiane;Bruna Souza;82987345488;131798765;06/02/1969;14/02/2022;53;Feminino;PB;Joao Pessoa;58078310;Funcionarios;cristianebrunasouza.cristianebrunasouza@hotmail.co.uk;25525-5;7833;Itau;5248 0535 9875 7599;12/01/2024;552
7;Sabrina;Ayla Simone Pinto;24060577472;113966325;05/02/1983;14/02/2022;39;Feminino;PB;Joao Pessoa;58068613;Gramame;ssabrinaaylasimonepinto@alway.com.br;1703702-1;793;Bradesco;4485 1493 0944 0726;12/02/2023;302
8;Martin;Heitor Ruan Corte Real;50790864401;448407115;11/02/1997;14/02/2022;25;Masculino;PB;Joao Pessoa;58085390;Cruz das Armas;martinheitorruancortereal_@oliveiraesouza.adv.br;211625-1;657;Banco do Brasil;4485 4100 4999 2537;12/02/2023;172
9;Francisca;Andreia Freitas;93060596476;472412681;12/02/1997;14/02/2022;25;Feminino;PB;Joao Pessoa;58082058;Distrito Industrial;ffranciscaandreiafreitas@riguetti.com.br;0964926-3;1729;Bradesco;5137 2647 7235 2917;12/05/2023;458
10;Tomÿs Andr;Joaquim Monteiro;87562450412;227783967;12/02/1966;14/02/2022;56;Masculino;PB;Joao Pessoa;58090540;Alto do Mateus;tomasandrejoaquimmonteiro-98@optovac.com.br;1202467-3;5782;Bradesco;4453 2855 8693 0910;12/09/2022;400
